ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms
agens	AgensGraph	client	4102	2021-08-03 10:30:29.914820365	2021-08-03 10:30:34.017191967	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	696	0	67	3406
cubrid	CUBRID	client	7049	2021-08-03 10:31:05.494708349	2021-08-03 10:31:12.544534158	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	499	83	87	6550
derby	Apache Derby	client	6633	2021-08-03 10:31:54.134861666	2021-08-03 10:32:00.768761472	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	1453	202	326	5180
derby_emb	Apache Derby	embedded	6149	2021-08-03 10:32:01.330353221	2021-08-03 10:32:07.479397358	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	1344	217	222	4805
exasol	Exasol	client	3669	2021-08-03 10:34:09.437334553	2021-08-03 10:34:13.107212661	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	785	27	109	2884
firebird	Firebird	client	17169	2021-08-03 10:34:56.583339311	2021-08-03 10:35:13.753035663	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	681	73	58	16488
hsqldb	HSQLDB	client	5731	2021-08-03 10:35:45.252215286	2021-08-03 10:35:50.984069971	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	585	61	41	5146
hsqldb_emb	HSQLDB	embedded	3040	2021-08-03 10:35:51.583159193	2021-08-03 10:35:54.623558431	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	451	34	22	2589
ibmdb2	IBM Db2 Database	client	6163	2021-08-03 10:40:56.405075400	2021-08-03 10:41:02.568778276	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	1771	190	188	4392
informix	IBM Informix	client	9296	2021-08-03 10:45:01.111507031	2021-08-03 10:45:10.408075840	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	662	52	142	8634
mariadb	MariaDB Server	client	4954	2021-08-03 10:45:51.804389920	2021-08-03 10:45:56.758994430	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	2051	1673	63	2903
mimer	Mimer SQL	client	15698	2021-08-03 10:46:28.657296567	2021-08-03 10:46:44.356060232	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	983	152	438	14715
monetdb	MonetDB	client	6258	2021-08-03 10:46:50.873202155	2021-08-03 10:46:57.131487743	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	850	0	105	5408
mysql	MySQL Database	client	6392	2021-08-03 10:47:59.362113023	2021-08-03 10:48:05.754542771	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	2163	1601	84	4229
oracle	Oracle Database	client	7290	2021-08-03 10:50:08.712185737	2021-08-03 10:50:16.002698713	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	2996	71	2196	4294
percona	Percona Server for MySQL	client	6897	2021-08-03 10:51:27.650271945	2021-08-03 10:51:34.547580174	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	2664	2137	86	4233
postgresql	PostgreSQL	client	3588	2021-08-03 10:52:06.941814974	2021-08-03 10:52:10.530580037	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	410	0	69	3178
sqlserver	MS SQL Server	client	3923	2021-08-03 10:52:42.014303881	2021-08-03 10:52:45.938279757	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	942	87	248	2981
timescale	TimescaleDB	client	3515	2021-08-03 10:53:23.975366128	2021-08-03 10:53:27.490950520	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	424	0	76	3091
yugabyte	YugabyteDB	client	12463	2021-08-03 10:53:58.965069496	2021-08-03 10:54:11.428417451	ubuntu	8	amd64 / Linux / 5.8.0-63-generic	4621	0	720	7842
