ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms	constraints
cubrid	CUBRID	client	8325	2022-12-22 11:43:00.305179023	2022-12-22 11:43:08.630519063	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	578	65	102	7747	inactive
derby	Apache Derby	client	7707	2022-12-22 11:44:01.937271283	2022-12-22 11:44:09.645169288	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1794	229	513	5913	inactive
derby_emb	Apache Derby	embedded	7199	2022-12-22 11:44:12.965179136	2022-12-22 11:44:20.164311581	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1899	202	367	5300	inactive
exasol	Exasol	client	4119	2022-12-22 11:47:31.764778590	2022-12-22 11:47:35.884165386	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1118	37	140	3001	inactive
firebird	Firebird	client	18335	2022-12-22 11:48:31.980759211	2022-12-22 11:48:50.315839577	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	814	100	99	17521	inactive
hsqldb	HSQLDB	client	6706	2022-12-22 11:49:30.561588863	2022-12-22 11:49:37.267648435	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	708	65	46	5998	inactive
ibmdb2	IBM Db2 Database	client	7139	2022-12-22 11:55:17.596175910	2022-12-22 11:55:24.735525874	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	2086	254	255	5053	inactive
informix	IBM Informix	client	11017	2022-12-22 11:59:44.272784395	2022-12-22 11:59:55.290183768	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	909	54	164	10108	inactive
mariadb	MariaDB Server	client	5826	2022-12-22 12:00:45.402301471	2022-12-22 12:00:51.228782067	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	3304	2683	86	2522	inactive
mimer	Mimer SQL	client	271232	2022-12-22 12:01:30.519348464	2022-12-22 12:06:01.751585591	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	4927	702	2743	266305	inactive
mysql	MySQL Database	client	7537	2022-12-22 12:07:37.239680801	2022-12-22 12:07:44.776901276	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	2944	2189	128	4593	inactive
oracle	Oracle Database	client	9554	2022-12-22 12:11:40.773863410	2022-12-22 12:11:50.328376675	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	4873	91	3751	4681	inactive
percona	Percona Server for MySQL	client	8071	2022-12-22 12:13:08.446497684	2022-12-22 12:13:16.517839246	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	3520	2768	122	4551	inactive
postgresql	PostgreSQL	client	3787	2022-12-22 12:13:56.375486810	2022-12-22 12:14:00.162524546	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	683	0	94	3104	inactive
sqlserver	MS SQL Server	client	4770	2022-12-22 12:14:47.123510673	2022-12-22 12:14:51.894155427	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	1357	131	380	3413	inactive
timescale	TimescaleDB	client	3960	2022-12-22 12:15:32.028761019	2022-12-22 12:15:35.989341658	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	745	0	95	3215	inactive
yugabyte	YugabyteDB	client	13323	2022-12-22 12:16:29.352609675	2022-12-22 12:16:42.676387113	ubuntu	8	amd64 / Linux / 5.15.0-56-generic	5652	0	1021	7671	inactive
