ticker symbol	DBMS	version	creator	db type	constraints	schema	total ms	start time	end time	host name	no. cores	operating system	file_name
h2	H2 Database Engine	v3.0.4	bash	client	active - no choice	company	4405	2021-10-29 08:43:10.659589585	2021-10-29 08:43:15.064929032	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
h2_emb	H2 Database Engine	v3.0.4	bash	embedded	active - no choice	company	2422	2021-10-29 08:43:15.655585781	2021-10-29 08:43:18.077727239	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
hsqldb	HSQLDB	v3.0.4	bash	client	active	company	5901	2021-10-29 08:43:54.683458995	2021-10-29 08:44:00.584983565	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
hsqldb_emb	HSQLDB	v3.0.4	bash	embedded	active	company	2672	2021-10-29 08:44:01.177356658	2021-10-29 08:44:03.849937491	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
ibmdb2	IBM Db2 Database	v3.0.4	bash	client	active	company	5893	2021-10-29 08:49:56.444869429	2021-10-29 08:50:02.337977792	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
informix	IBM Informix	v3.0.4	bash	client	active	company	8565	2021-10-29 08:54:33.248139130	2021-10-29 08:54:41.814113969	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
mariadb	MariaDB Server	v3.0.4	bash	client	active	company	3153	2021-10-29 08:55:33.294560226	2021-10-29 08:55:36.448548219	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
mimer	Mimer SQL	v3.0.4	bash	client	active	company	16839	2021-10-29 08:56:17.222545991	2021-10-29 08:56:34.062269804	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
monetdb	MonetDB	v3.0.4	bash	client	active	company	6817	2021-10-29 08:56:56.733169201	2021-10-29 08:57:03.550969474	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
mysql	MySQL Database	v3.0.4	bash	client	active	company	4607	2021-10-29 08:58:16.932962831	2021-10-29 08:58:21.540778573	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
mysql_trino	MySQL Database	v3.0.4	bash	trino	active - no choice	company	826881	2021-10-29 09:00:26.480292615	2021-10-29 09:14:13.361467867	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
omnisci	OmniSciDB	v3.0.4	bash	client	active - no choice	company	4771	2021-10-29 09:41:08.352440475	2021-10-29 09:41:13.124287824	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
oracle	Oracle Database	v3.0.4	bash	client	active	company	5079	2021-10-29 09:46:36.703967587	2021-10-29 09:46:41.783877117	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
oracle_trino	Oracle Database	v3.0.4	bash	trino	active - no choice	company	1076481	2021-10-29 09:49:48.924903825	2021-10-29 10:07:45.406212358	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
percona	Percona Server for MySQL	v3.0.4	bash	client	active	company	4837	2021-10-29 10:09:05.842680070	2021-10-29 10:09:10.680224675	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
postgresql	PostgreSQL	v3.0.4	bash	client	active	company	3625	2021-10-29 10:09:52.050180771	2021-10-29 10:09:55.675930411	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
postgresql_trino	PostgreSQL	v3.0.4	bash	trino	active - no choice	company	714953	2021-10-29 10:10:58.637447901	2021-10-29 10:22:53.590754982	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
sqlite	SQLite	v3.0.4	bash	embedded	active - no choice	company	1889	2021-10-29 10:22:54.207172052	2021-10-29 10:22:56.097124705	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
sqlserver	MS SQL Server	v3.0.4	bash	client	active	company	3873	2021-10-29 10:23:50.690122493	2021-10-29 10:23:54.563135566	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
sqlserver_trino	MS SQL Server	v3.0.4	bash	trino	active - no choice	company	1009922	2021-10-29 10:25:03.124965468	2021-10-29 10:41:53.046997453	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
timescale	TimescaleDB	v3.0.4	bash	client	active	company	3829	2021-10-29 10:42:29.430996572	2021-10-29 10:42:33.260677371	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
yugabyte	YugabyteDB	v3.0.4	bash	client	active	company	12843	2021-10-29 10:44:07.675184470	2021-10-29 10:44:20.518396806	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
agens	AgensGraph	v3.0.4	bash	client	inactive	company	3863	2021-10-29 10:44:58.536581096	2021-10-29 10:45:02.399630214	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
cubrid	CUBRID	v3.0.4	bash	client	inactive	company	6918	2021-10-29 10:45:43.468392186	2021-10-29 10:45:50.386720999	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
derby	Apache Derby	v3.0.4	bash	client	inactive	company	6524	2021-10-29 10:46:45.250838940	2021-10-29 10:46:51.775369217	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
derby_emb	Apache Derby	v3.0.4	bash	embedded	inactive	company	6136	2021-10-29 10:46:52.360560239	2021-10-29 10:46:58.497004663	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
exasol	Exasol	v3.0.4	bash	client	inactive	company	4071	2021-10-29 10:50:46.216019338	2021-10-29 10:50:50.287623272	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
firebird	Firebird	v3.0.4	bash	client	inactive	company	17048	2021-10-29 10:51:40.731738583	2021-10-29 10:51:57.780644760	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
hsqldb	HSQLDB	v3.0.4	bash	client	inactive	company	5805	2021-10-29 10:52:34.085841572	2021-10-29 10:52:39.891403534	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
ibmdb2	IBM Db2 Database	v3.0.4	bash	client	inactive	company	6539	2021-10-29 10:58:34.055093253	2021-10-29 10:58:40.594744043	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
informix	IBM Informix	v3.0.4	bash	client	inactive	company	9121	2021-10-29 11:03:11.272996637	2021-10-29 11:03:20.394802103	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
mariadb	MariaDB Server	v3.0.4	bash	client	inactive	company	4958	2021-10-29 11:04:12.042770911	2021-10-29 11:04:17.001301915	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
mimer	Mimer SQL	v3.0.4	bash	client	inactive	company	17060	2021-10-29 11:04:57.409716974	2021-10-29 11:05:14.470019987	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
monetdb	MonetDB	v3.0.4	bash	client	inactive	company	5606	2021-10-29 11:05:37.466313959	2021-10-29 11:05:43.072627650	ubuntu	8	amd64 / Linux / 5.11.0-38-generic	db_seeder_bash_complete_company_3.0.4_vmware
